state,title,text,link
Alabama,Pen Air Federal Credit Union Scholarship Program,"The Pen Air Federal Credit Union Scholarship Program is offered to Alabama and Florida high school seniors who have at least a 2.0 GPA. For more information or to apply, please visit the scholarship provider's website.
ADVERTISEMENT",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/pen-air-federal-credit-union-scholarship-program
Alabama,Samuel Robinson Award,"The Samuel Robinson Award seeks to stimulate interest in the Westminster Shorter Catechism by challenging Presbyterian Church (U.S.A.) members who are juniors or seniors in college and attending a Presbyterian-related college or university to memorize and recite the catechism from memory. To further demonstrate an understanding of the Westminster Shorter Catechism, the applicant will write a 2,000-word essay on an assigned topic related to the catechism. The essay is read by a panel of chaplains. Applicants must be members of the Presbyterian Church (U.S.A.) Deadlines vary. For more information or to apply, please visit the scholarship provider's website.
ADVERTISEMENT",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/samuel-robinson-award
Alabama,Southern Automotive Womens Forum Scholarship,"The SAWF Scholarship Program provides financial assistance to women enrolled or enrolling in a STEM field at an accredited two-year technical program, four-year undergraduate program, or a graduate program who have a minimum cumulative 2.5 GPA, with a preference for those interested in the automobile and mobility industry. Applicants must be female high school seniors or graduates enrolling or enrolled in a STEM field at an accredited two-year technical program, four-year undergraduate program, or graduate program.
ADVERTISEMENT

Preference will be given to those pursuing a career in the automotive industry and at a college or university in Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, and West Virginia. Applicants must include a resume, two letters of recommendation, transcripts, and an essay. For more information or to apply, please visit the scholarship provider's website.",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/southern-automotive-womens-forum-scholarship
Alabama,Targeting Excellence Scholarships,"Targeting Excellence scholarships are awarded to both undergraduate and graduate students enrolled in an agricultural (ag) curriculum. Preference will always be given to applicants with a desire to work in some aspect of food animal production (poultry, swine, beef, dairy, or other species) and to students enrolled in regions where fund-raising events are held (awards areas include Alabama, Indiana, Iowa, Minnesota, North Carolina, Ohio, Pennsylvania, and Wisconsin). For more information or to apply, please visit the scholarship provider's website.
ADVERTISEMENT",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/targeting-excellence-scholarships
Alabama,Teacher Education Scholarship Program of the Alabama Space Grant Consortium,"The Alabama Space Grant Consortium (ASGC), a member of the NASA National Space Grant College and Fellowship Program, supports undergraduate scholarships and graduate fellowships for students studying in an aerospace-related discipline at participating universities and who have at least a 3.0 GPA. For more information or to apply, please visit the scholarship provider's website.
ADVERTISEMENT",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/teacher-education-scholarship-program-of-the-alabama-space-grant-consortium
Alabama,The Luther and Mary Ida Vandross Scholarship,"The Luther and Mary Ida Vandross Fund was established to honor the memory of Luther Vandross and his devoted mother Mary Ida. Scholarships from this fund will be awarded to assist students in their pursuit to graduate from a historically black college or university (HBCU). Applicants must be third, fourth or fifth-year college students leading to an undergraduate degree; be enrolled at an HBCU; demonstrate financial need; have a 2.5 GPA; and, be a resident of Pennsylvania, Delaware, or Southern New Jersey. For more information or to apply, please visit the scholarship provider's website.
ADVERTISEMENT",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/the-luther-and-mary-ida-vandross-scholarship
Alabama,U of A Tuscaloosa Coca-Cola First-Generation Scholarship,"The University of Alabama offers the Coca-Cola First-Generation Scholarship to first-generation, incoming freshmen. Eligible applicants must be residents of Alabama, and have a 3.0 GPA. First consideration will be given to those with demonstrated financial need (for priority consideration, a student must submit the FAFSA by March 1 of the year in which they are planning to enroll). This is renewable for four years, provided that recipients maintain a 3.0 GPA in addition to a strong support structure. For more information and how to apply, please visit the scholarship provider's website.
ADVERTISEMENT",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/u-of-a-tuscaloosa-coca-cola-first-generation-scholarship
Alabama,U of A Tuscaloosa National Alumni Association Crimson Scholarship,"The University of Alabama Alumni Association offers the Crimson Scholarship to exceptional students. To be considered, an applicant must be a first-time freshman, have a minimum 3.8 GPA, a minimum 32 ACT or 1420 SAT, rank in the top 2% of their graduating class, and demonstrate extensive leadership. This is a four-year award. For more information or to apply, please visit the scholarship provider's website.
ADVERTISEMENT",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/u-of-a-tuscaloosa-national-alumni-association-crimson-scholarship
Alabama,UNCF General Scholarship,"The UNCF General Scholarship Program is restricted to UNCF students who are currently enrolled for the current academic year. Applicants must be enrolled full-time at a UNCF member college or university, demonstrated financial need, and have a 2.5 GPA. Must be current undergraduates or graduates, and have US citizenship or legal residence. For more information or to apply, please visit the scholarship provider's website.
ADVERTISEMENT",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/uncf-general-scholarship
Alabama,University of Alabama-Tuscaloosa In-State Merit Scholarships,"First time freshmen admitted by to the University of Alabama by May 1, have a qualifying score on the ACT or SAT in February, and have at least a 3.0 cumulative high school GPA through December of the senior year will be eligible for a merit-based scholarship. Scholarships have individual criteria. For more information or to apply, please visit the scholarship provider's website.
ADVERTISEMENT",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/university-of-alabama-tuscaloosa-in-state-merit-scholarships
